conversation_id,tweet,abusive
1.2283586079489843e+18,@SAfridiOfficial Mubarak ho lala - Ma Sha Allah. Lovelyfamily,0
1.2783046597116805e+18,"@AsimACT91 @tanooverse @boskey0110 @shahjhan_malikk @SAfridiOfficial Abe kuch to bana apna, vada pao bhi mumbai ki hai. Aur rahi baat badi baaton ki to apne dost ko bol, usi ne post kiya hai 20000 soldiers wala maine nahi.",0
9.81084208369193e+17,@SAfridiOfficial @UN Thnxx lala # i m kashmiri,0
1.4424523919582208e+18,@RakeshTikaitBKU @SwaroopRajesh @AmarUjalaNews @thetribunechd @JagbaniOnline @fpjindia @PTI_News @PCITweets @AP @OfficialBKU @Dmalikbku @SaurabhBKU Bharat band totally fail 👎👎hua. Sab kuch normal tha,0
9.81084208369193e+17,@SAfridiOfficial @UN Shahid Bhai ye nation pehlay he itni Kali hy apni harkaton ki waja sey or apnay ye tweet kardi https://t.co/3qG5Rsgay2,1
1.4605603104656998e+18,@thevirdas Gaand mara lode. Vahan jaake bol ab yeh sb jahan u showed a pathetic image of our great country. If any Chinese wud have done it he surely gets a death penalty,1
1.4525689469435617e+18,@anjanaomkashyap 18 jatiyo ko scattered may  karna chaheya,0
9.81084208369193e+17,@DrManis25389807 @fm9teen86 @SAfridiOfficial @UN Beta teek se daik adhay log bhi bhi hai army ma kashmir,1
6.35079743746904e+17,@Pawan87167715 @ravishndtv Bhakt jante hai babu kisko kese pelna hai aur kisko prem dena hai ravish ko to hamesa trolling pr on rakhenge,0
1.2013608471775724e+18,@priyankagandhi 5 रू प्रति दिन 1.5 GB मिल रहा था। जो अब 7 रू का 2 GB मिलेगा।यह मै Jio की रेट बता रहा हूं। 2014 के पहले 1 GB 250 रू का मिलता था। बात करना अभी  मुफ्त पहले करीब 1000 रु बात करने मे प्रतिमाह लग जाते थे।यह पप्पू की बहन पप्पी ही है।,0
6.35079743746904e+17,@ravishndtv Sir ap gaye to godi media ko aaina koun dekhayga.....,0
1.4605603104656998e+18,"@thevirdas Kya chutiya pa hai, your entire video is showing disrespect towards India and specific ritual or culture.    You are a pig Vir.",1
1.4424523919582208e+18,"@RakeshTikaitBKU @AmarUjalaNews @thetribunechd @JagbaniOnline @fpjindia @PTI_News @PCITweets @AP @OfficialBKU @Dmalikbku @SaurabhBKU Gujarat also in India, Dakait ko koi janta nahi",0
1.4558763558626468e+18,@anjanaomkashyap Happy diwali lekin apki anchoring kutch kam k nahi hoti logo chid hoti h kewal owsis saheb kahti rahati ho aur kutch,0
9.81084208369193e+17,@voiceofanjali @Kkjh74 @sunit_utd Apni haqekat na balloon sony par kud apki gov t add deti Ha social bano,1
1.2620522087173038e+18,@SAfridiOfficial Tu Chu**** tha hai rahega..... Kashmir hamara hai hamara harega🚩🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳 Nation first,1
6.35079743746904e+17,@ravishndtv aree sirji hum to anath Ho jayenge,0
1.5087666518350602e+18,@ArvindKejriwal Konsa desh sir jee? Pakistan ya Khalistan?,0
1.4659288483950387e+18,@sudhirchaudhary Dubai se Bahar nikalo ise,0
1.2283586079489843e+18,@ben_ki_lorry @SAfridiOfficial Took me a lot of mental calculation to reach the Mama-Bhanji (Bhai Behan) reason.,1
1.4558763558626468e+18,@anjanaomkashyap Ye to pahne hona chahiye madam ji,0
1.2620522087173038e+18,@SAfridiOfficial Mr.afridi first educate yourself how to speak in social media .Ur character shows ur country education skills.React like humans don't be like street dogs.Modi ji is better leader for India.He is bravest man to take bold action.Not Like ur country PM hiding behind tables and walls,1
1.2446192931252677e+18,@priyankagandhi कांग्रेस पार्टी का मजबूत सेनापति 10000 ट्वीट किया परंतु आपकी नजरों में उस मजबूर सेनापति का यही स्थान है कि आपने कभी 10000 फीट का एक जवाब नहीं दिया अब अगर आप कार्यकर्ता की बात करते हैं तो यह मजाक लगता है अब कांग्रेश कार्यकर्ता भी पार्टी है इसलिए कार्यकर्ता पर गर्व मत कीजिए,0
1.2783046597116805e+18,@IbrarsWorld @hamzabutt61 @SAfridiOfficial Apne yha to tumhari sarakr jaan bhuj kr krvati hai takki tum duina k aage victim card play kr sko jaise ab stock market mai krvaya,1
1.1190917416954716e+18,@RoshanSdrprop @ashutosh83B @INCIndia @AamAadmiParty @sardesairajdeep @sardanarohit @BJP4India @PMOIndia Sir kuch nahi......trp  chahiy bus,0
6.351324009729065e+17,"@ravishndtv Sir hamare netao ko badlna hi padega achha hoga binaas ke bajay o bikaas ki yor jaaye

Badal gaya ye jan par man abhi baaki hai ,
Ek din sabko jaana hai ,
Kyoki ye duniya maati hai .

Sb kuchh bdal raha hai par hamari soch aaj bhi wahi hai jaati wadi sosad wadi jo galat hai .",0
1.2283586079489843e+18,@SAfridiOfficial Helmet laga ke betting kiya karo bhai,1
1.4510413024898867e+18,"@anjanaomkashyap अँधभक्ति रिकार्डतोड़ 😅

दुनिया में दो ही देशों की जनसंख्या 100 करोड़ से ज़्यादा है - भारत और चीन

चीन ने अब तक 223 करोड़ डोज़ दे दी हैं

जून 2021 में चीन ने 100 करोड़ लोगों को डबल डोज़ दे दी थी 🥴",0
1.2283586079489843e+18,@SAfridiOfficial Allah ki rehlat baap ka khyal rakhne wali salalat rahen,0
1.4510413024898867e+18,@anjanaomkashyap 100 par jb petrol diesel gye tb to nhi boli aap madam,0
1.46125826043494e+18,@khanumarfa #Islam only knows to take &amp; take only. When are you going to have #AkhandPath of #GuruGranthSahib Away do Hume ek Tarfa Mohabbath hain #khalsa #Sikhs,0
